year,country,value
1986,TG,2145.0
1986,TH,26950.0
1986,TZ,206330.0
1986,UG,-166562.0
1986,VE,460.0
1986,YE,4999.0
1986,ZM,129010.0
1986,ZW,61270.0
1987,AO,-14033.0
1987,BF,140.0
1987,BH,2080.0
1987,BI,68569.0
1987,BJ,2920.0
1987,BW,4900.0
1987,BZ,10000.0
1987,CF,11210.0
1987,CI,359.0
1987,CM,59080.0
1987,CO,200.0
1987,CR,29260.0
1987,DJ,16730.0
1987,DO,7070.0
1987,DZ,164999.0
1987,EC,590.0
1987,EG,892.0
1987,ET,-1237183.0
1987,GH,-3866.0
1987,GR,2620.0
1987,GT,-41840.0
1987,HN,75549.0
1987,IN,5180.0
1987,IT,14620.0
1987,KE,10410.0
1987,LS,4000.0
1987,MA,58.0
1987,ML,50.0
1987,MW,443490.0
1987,MX,166090.0
1987,MY,90300.0
1987,MZ,-692050.0
1987,NG,6187.0
1987,NI,-66310.0
1987,PA,1300.0
1987,PE,420.0
1987,PG,10950.0
1987,PK,3155999.0
1987,RW,-330861.0
1987,SD,644244.0
1987,SL,150.0
1987,SN,5000.0
1987,SO,810168.0
1987,SV,-173204.0
1987,SZ,14500.0
1987,TG,3385.0
1987,TH,22970.0
1987,TR,-894.0
1987,TZ,246740.0
1987,UG,-88411.0
1987,VE,530.0
1987,YE,2999.0
1987,ZM,138110.0
1987,ZW,131630.0
1988,AO,-19961.0
1988,BF,190.0
1988,BI,-21967.0
1988,BJ,1051.0
1988,BW,1714.0
1988,BZ,10000.0
1988,CF,4214.0
1988,CI,299.0
1988,CM,53604.0
1988,CO,235.0
1988,CR,39187.0
1988,DJ,6502.0
1988,DO,5356.0
1988,DZ,164995.0
1988,EG,1234.0
1988,ET,-840024.0
1988,GB,9031.0
1988,GH,-4719.0
1988,GR,2854.0
1988,GT,-42600.0
1988,HN,72253.0
1988,ID,-9671.0
1988,IN,5543.0
1988,IT,13239.0
1988,KE,13118.0
1988,LB,3931.0
1988,LS,4230.0
1988,ML,50.0
1988,MW,632139.0
1988,MX,166758.0
1988,MY,90160.0
1988,MZ,-926188.0
1988,NG,5160.0
1988,NI,-88251.0
1988,PA,1624.0
1988,PG,9691.0
1988,PK,3254358.0
1988,RW,-240232.0
1988,SD,474870.0
1988,SL,52.0
1988,SN,4994.0
1988,SO,483857.0
1988,SV,-169273.0
1988,SY,-671.0
1988,SZ,29404.0
1988,TG,3333.0
1988,TH,17178.0
1988,TR,1700.0
1988,TZ,248948.0
1988,UG,-349.0
1988,US,168975.0
1988,YE,1089.0
1988,ZM,132977.0
1988,ZW,174216.0
1989,AO,-95705.0
1989,BF,278.0
1989,BH,70.0
1989,BI,29736.0
1989,BJ,1161.0
1989,BW,767.0
1989,BZ,4850.0
1989,CF,3103.0
1989,CI,229.0
1989,CM,50984.0
1989,CO,204.0
1989,CR,46160.0
1989,CU,-3692.0
1989,DJ,31869.0
1989,DK,8160.0
1989,DO,3810.0
1989,DZ,239954.0
1989,EG,1362.0
1989,ET,-771422.0
1989,GB,13542.0
1989,GF,6601.0
1989,GH,-4666.0
1989,GR,5364.0
1989,GT,-41692.0
1989,HN,62165.0
1989,HU,22641.0
1989,ID,-7784.0
1989,IN,9358.0
1989,IT,9551.0
1989,JO,115.0
1989,KE,12752.0
1989,KW,150.0
1989,LB,-2147.0
1989,LR,9.0
1989,LS,4244.0
1989,ML,50.0
1989,MR,-33238.0
1989,MW,826019.0
1989,MX,47397.0
1989,MY,90000.0
1989,MZ,-1124778.0
1989,NG,4697.0
1989,NI,-93060.0
1989,NP,50.0
1989,PA,875.0
1989,PG,7795.0
1989,PK,3273580.0
1989,RW,-283985.0
1989,SD,344220.0
1989,SN,38231.0
1989,SO,414021.0
1989,SV,-42102.0
1989,SZ,34869.0
1989,TG,3308.0
1989,TH,17228.0
1989,TR,-714.0
1989,TZ,248980.0
1989,UG,92134.0
1989,US,195737.0
1989,YE,3077.0
1989,ZM,128869.0
1989,ZW,176117.0
1990,AO,-97173.0
1990,BF,248.0
1990,BH,41.0
1990,BI,63881.0
1990,BJ,742.0
1990,BW,1076.0
1990,BZ,5427.0
1990,CF,5549.0
1990,CI,271989.0
1990,CM,51906.0
1990,CN,-2756.0
1990,CO,-324.0
1990,CR,46318.0
1990,CY,134.0
1990,DJ,77601.0
1990,DK,9041.0
1990,DO,2085.0
1990,DZ,164981.0
1990,EC,517.0
1990,EG,1553.0
1990,ET,-533713.0
1990,GA,417.0
1990,GB,16176.0
1990,GF,6601.0
1990,GH,3288.0
1990,GM,66.0
1990,GN,324950.0
1990,GT,-42534.0
1990,GW,-1999.0
1990,HN,38172.0
1990,HU,24563.0
1990,ID,-6343.0
1990,IN,213948.0
1990,IT,7137.0
1990,JO,90.0
1990,KE,14319.0
1990,LB,-6243.0
1990,LS,208.0
1990,ML,13249.0
1990,MR,-5999.0
1990,MW,927182.0
1990,MX,50515.0
1990,MZ,-1248082.0
1990,NE,775.0
1990,NG,5185.0
1990,NI,-80684.0
1990,NP,1470.0
1990,PA,561.0
1990,PG,8070.0
1990,PH,70.0
1990,PK,3273504.0
1990,RW,-324719.0
1990,SD,555512.0
1990,SE,60977.0
1990,SL,125821.0
1990,SN,-2010.0
1990,SO,-30364.0
1990,SV,-37595.0
1990,SY,1977.0
1990,SZ,42036.0
1990,TG,3391.0
1990,TH,15077.0
1990,TR,-3928.0
1990,TZ,248977.0
1990,UG,95315.0
1990,US,232588.0
1990,VE,2180.0
1990,YE,2880.0
1990,ZM,128668.0
1990,ZW,190946.0
1991,AO,-100773.0
1991,BD,-391.0
1991,BF,212.0
1991,BI,54987.0
1991,BJ,740.0
1991,BW,1177.0
1991,BZ,11369.0
1991,CF,13054.0
1991,CI,230027.0
1991,CM,50292.0
1991,CN,-1831.0
1991,CO,-580.0
1991,CR,40022.0
1991,CY,53.0
1991,DJ,98964.0
1991,DK,10217.0
1991,DO,1958.0
1991,DZ,164945.0
1991,EC,263.0
1991,EG,1858.0
1991,ES,945.0
1991,ET,594539.0
1991,GA,220.0
1991,GB,18125.0
1991,GF,6532.0
1991,GH,5329.0
1991,GM,213.0
1991,GN,547954.0
1991,GT,-48887.0
1991,GW,-375.0
1991,HN,3040.0
1991,HU,-953.0
1991,ID,-5010.0
1991,IN,212630.0
1991,IQ,-105836.0
1991,IT,6238.0
1991,JO,708.0
1991,KE,119540.0
1991,KW,19953.0
1991,LB,-7941.0
1991,LS,204.0
1991,ML,-1488.0
1991,MR,-46081.0
1991,MW,981762.0
1991,MX,54670.0
1991,MZ,-1316556.0
1991,NE,3543.0
1991,NG,3480.0
1991,NI,-45521.0
1991,NP,9519.0
1991,PA,720.0
1991,PG,6629.0
1991,PK,3274125.0
1991,RO,-26797.0
1991,RW,-345564.0
1991,SA,35727.0
1991,SD,350988.0
1991,SE,71235.0
1991,SL,-16794.0
1991,SN,48061.0
1991,SV,-35036.0
1991,SY,1113.0
1991,SZ,50103.0
1991,TG,3318.0
1991,TH,15015.0
1991,TR,21597.0
1991,TZ,277872.0
1991,UG,142017.0
1991,US,265398.0
1991,VE,1729.0
1991,YE,29964.0
1991,ZM,130695.0
1991,ZW,197332.0
1992,AF,-2951820.0
1992,AM,104997.0
1992,AO,-104025.0
1992,AZ,-105000.0
1992,BD,-53761.0
1992,BF,5529.0
1992,BI,54914.0
1992,BJ,499.0
1992,BS,1354.0
1992,BW,1005.0
1992,BZ,12678.0
1992,CF,19945.0
1992,CI,173815.0
1992,CM,45155.0
1992,CO,-764.0
1992,CR,35713.0
1992,CU,-17638.0
1992,DJ,31169.0
1992,DK,12011.0
1992,DO,2017.0
1992,DZ,214929.0
1992,EC,110.0
1992,EG,5193.0
1992,ES,817.0
1992,ET,106623.0
1992,FR,92.0
1992,GA,255.0
1992,GB,33083.0
1992,GF,6242.0
1992,GH,7219.0
1992,GM,3586.0
1992,GN,561939.0
1992,GT,-51043.0
1992,GW,7865.0
1992,HN,1917.0
1992,HU,-1563.0
1992,ID,-6244.0
1992,IN,285994.0
1992,IQ,-110968.0
1992,IT,5900.0
1992,JM,140.0
1992,JO,77.0
1992,KE,400386.0
1992,KM,348.0
1992,KW,19805.0
1992,LB,-9347.0
1992,LR,-491885.0
1992,LS,103.0
1992,ML,-58113.0
1992,MR,-42584.0
1992,MW,1058442.0
1992,MX,55993.0
1992,MZ,-1445985.0
1992,NE,-18131.0
1992,NG,4476.0
1992,NI,-40027.0
1992,NL,16911.0
1992,NP,77910.0
1992,PA,107.0
1992,PG,6679.0
1992,PK,2987670.0
1992,RO,-24368.0
1992,RW,-348954.0
1992,SA,28204.0
1992,SD,639276.0
1992,SE,75617.0
1992,SI,113760.0
1992,SL,-260612.0
1992,SN,55873.0
1992,SO,-801558.0
1992,SR,-7073.0
1992,SV,-33479.0
1992,SY,1732.0
1992,SZ,55485.0
1992,TD,-73792.0
1992,TG,3159.0
1992,TH,14803.0
1992,TJ,-57008.0
1992,TR,33711.0
1992,TZ,283283.0
1992,UG,163583.0
1992,US,323893.0
1992,VE,2096.0
1992,YE,59909.0
1992,ZM,132944.0
1992,ZW,237694.0
1993,AE,389.0
1993,AF,-1494347.0
1993,AM,133884.0
1993,AO,-106557.0
1993,AR,471.0
1993,AT,5.0
1993,AU,200.0
1993,AZ,-128005.0
1993,BA,-388823.0
1993,BD,-57029.0
1993,BF,6506.0
1993,BG,-2775.0
1993,BI,-453649.0
1993,BJ,156549.0
1993,BO,388.0
1993,BR,1436.0
1993,BS,422.0
1993,BW,573.0
1993,BZ,8975.0
1993,CA,70.0
1993,CF,44466.0
1993,CH,14900.0
1993,CI,260596.0
1993,CL,-16835.0
1993,CM,43750.0
1993,CN,-111468.0
1993,CO,-788.0
1993,CR,24669.0
1993,CU,-20295.0
1993,CY,72.0
1993,CZ,-4997.0
1993,DJ,34276.0
1993,DK,17376.0
1993,DO,1323.0
1993,DZ,214913.0
1993,EC,326.0
1993,EG,6237.0
1993,ER,-427210.0
1993,ES,1989.0
1993,ET,-35837.0
1993,FR,87.0
1993,GA,7.0
1993,GB,43811.0
1993,GE,-6012.0
1993,GF,6.0
1993,GH,145607.0
1993,GM,2164.0
1993,GN,586959.0
1993,GR,5733.0
1993,GT,-50626.0
1993,GW,16820.0
1993,HN,-383.0
1993,HR,285653.0
1993,HU,-2627.0
1993,ID,-7636.0
1993,IE,2.0
1993,IN,262786.0
1993,IQ,-124053.0
1993,IT,15473.0
1993,JM,61.0
1993,JO,225.0
1993,KE,391781.0
1993,KG,21241.0
1993,KH,-9884.0
1993,KW,21911.0
1993,KZ,4998.0
1993,LB,-9478.0
1993,LK,-91886.0
1993,LR,-570194.0
1993,LS,-23.0
1993,LY,584.0
1993,MA,-104.0
1993,MR,-17344.0
1993,MT,155.0
1993,MW,1058609.0
1993,MX,57750.0
1993,MY,131.0
1993,MZ,-1566774.0
1993,NE,-5618.0
1993,NG,4688.0
1993,NI,-27577.0
1993,NL,26439.0
1993,NO,1.0
1993,NP,85349.0
1993,NZ,8.0
1993,PA,69.0
1993,PE,-1468.0
1993,PG,7902.0
1993,PH,83.0
1993,PK,1477614.0
1993,PL,-12801.0
1993,PY,7.0
1993,RO,-22535.0
1993,RU,-243193.0
1993,RW,-146984.0
1993,SA,24018.0
1993,SD,479478.0
1993,SE,106777.0
1993,SG,18.0
1993,SI,45000.0
1993,SL,-297793.0
1993,SN,50307.0
1993,SO,-640830.0
1993,SR,-841.0
1993,SV,-26596.0
1993,SY,33042.0
1993,SZ,54138.0
1993,TD,-216975.0
1993,TG,-288168.0
1993,TH,5601.0
1993,TJ,-69808.0
1993,TM,15400.0
1993,TR,4949.0
1993,TZ,579875.0
1993,UG,266493.0
1993,US,354038.0
1993,UY,-1.0
1993,UZ,7998.0
1993,VE,2457.0
1993,YE,54411.0
1993,ZA,240483.0
1993,ZM,132508.0
1993,ZW,109750.0
1994,AE,448.0
1994,AF,-1173033.0
1994,AM,132193.0
1994,AO,-108782.0
1994,AR,888.0
1994,AT,-26.0
1994,AU,71.0
1994,AZ,-97485.0
1994,BA,-665094.0
1994,BD,-56057.0
1994,BE,8.0
1994,BF,49438.0
1994,BG,-3848.0
1994,BI,135710.0
1994,BJ,163012.0
1994,BO,317.0
1994,BR,1598.0
1994,BY,1718.0
1994,BZ,8840.0
1994,CA,154121.0
1994,CF,47854.0
1994,CH,13381.0
1994,CI,362741.0
1994,CL,-17222.0
1994,CM,43205.0
1994,CN,-114125.0
1994,CO,-1095.0
1994,CR,23933.0
1994,CU,-20608.0
1994,CY,61.0
1994,CZ,-4381.0
1994,DE,349551.0
1994,DJ,25464.0
1994,DK,22491.0
1994,DO,1940.0
1994,DZ,194257.0
1994,EC,81.0
1994,EG,6538.0
1994,ER,-430500.0
1994,ES,2378.0
1994,ET,81820.0
1994,FR,20150.0
1994,GA,410.0
1994,GB,45922.0
1994,GE,-6118.0
1994,GF,6.0
1994,GH,134063.0
1994,GM,1976.0
1994,GN,554056.0
1994,GR,5582.0
1994,GT,-51109.0
1994,GW,18894.0
1994,HN,-1133.0
1994,HR,181468.0
1994,HU,-2489.0
1994,IE,372.0
1994,IN,262739.0
1994,IQ,-125341.0
1994,IT,14925.0
1994,JM,64.0
1994,JO,140.0
1994,KE,316449.0
1994,KG,21225.0
1994,KH,-3571.0
1994,KW,21344.0
1994,KZ,5001.0
1994,LB,-14313.0
1994,LK,-122622.0
1994,LR,-683028.0
1994,LS,49.0
1994,LY,1496.0
1994,MG,62.0
1994,ML,-172905.0
1994,MR,14186.0
1994,MT,363.0
1994,MW,713339.0
1994,MX,53501.0
1994,MY,72.0
1994,MZ,-1007989.0
1994,NE,-7004.0
1994,NG,5546.0
1994,NI,-28213.0
1994,NL,42003.0
1994,NP,103266.0
1994,PA,441.0
1994,PE,-3778.0
1994,PG,8647.0
1994,PH,-435.0
1994,PK,1153402.0
1994,PY,-42.0
1994,RO,-21246.0
1994,RU,-251319.0
1994,RW,-1756624.0
1994,SA,17782.0
1994,SD,454607.0
1994,SE,129812.0
1994,SG,0.0
1994,SI,29122.0
1994,SL,-259242.0
1994,SN,47347.0
1994,SO,-692209.0
1994,SR,-865.0
1994,SV,-31001.0
1994,SY,32921.0
1994,SZ,12097.0
1994,TD,-210146.0
1994,TG,-281843.0
1994,TH,227.0
1994,TJ,-74774.0
1994,TM,15393.0
1994,TN,-197.0
1994,TR,-4936.0
1994,TZ,1362167.0
1994,UA,4130.0
1994,UG,475823.0
1994,US,364822.0
1994,UY,-234.0
1994,UZ,-21060.0
1994,VE,1865.0
1994,YE,48218.0
1994,ZA,110079.0
1994,ZM,124475.0
1994,ZW,104903.0
1995,AE,375.0
1995,AF,-1383200.0
1995,AL,-5200.0
1995,AM,42057.0
1995,AO,-122268.0
1995,AR,-33.0
1995,AU,50.0
1995,AZ,-39520.0
1995,BA,-676110.0
1995,BD,-56853.0
1995,BE,8.0
1995,BF,4338.0
1995,BG,-3237.0
1995,BI,-42574.0
1995,BJ,70431.0
1995,BO,500.0
1995,BR,1692.0
1995,BS,8.0
1995,BW,229.0
1995,BZ,8700.0
1995,CA,127739.0
1995,CF,43802.0
1995,CH,10725.0
1995,CI,297605.0
1995,CL,-14634.0
1995,CM,43676.0
1995,CN,-104817.0
1995,CO,-1726.0
1995,CR,23549.0
1995,CU,-24430.0
1995,CY,44.0
1995,DE,319687.0
1995,DJ,33151.0
1995,DK,42676.0
1995,DO,1499.0
1995,DZ,213031.0
1995,EC,-66.0
1995,EG,4313.0
1995,ER,-307117.0
1995,ES,2863.0
1995,ET,257402.0
1995,FJ,-213.0
1995,FR,78123.0
1995,GA,686.0
1995,GB,49042.0
1995,GE,-4808.0
1995,GH,101805.0
1995,GM,6438.0
1995,GN,678342.0
1995,GR,2861.0
1995,GT,-50934.0
1995,GW,14520.0
1995,HN,-1175.0
1995,HR,180720.0
1995,HU,-2344.0
1995,ID,-9738.0
1995,IN,232592.0
1995,IQ,-107722.0
1995,IT,32342.0
1995,JM,48.0
1995,JO,215.0
1995,JP,-1.0
1995,KE,269515.0
1995,KG,13385.0
1995,KH,-26972.0
1995,KW,1257.0
1995,KZ,15361.0
1995,LB,-11705.0
1995,LK,-117789.0
1995,LR,-634128.0
1995,LY,3854.0
1995,MA,-247.0
1995,ML,-92263.0
1995,MR,-46176.0
1995,MT,271.0
1995,MW,624.0
1995,MX,47694.0
1995,MY,61.0
1995,MZ,-171869.0
1995,NE,17955.0
1995,NG,6152.0
1995,NI,-23351.0
1995,NL,57950.0
1995,NO,3.0
1995,NP,104722.0
1995,NZ,2163.0
1995,PA,-135.0
1995,PE,-5372.0
1995,PG,7601.0
1995,PH,-369.0
1995,PK,1350185.0
1995,PY,-24.0
1995,RO,-16839.0
1995,RU,-206935.0
1995,RW,-866851.0
1995,SA,13429.0
1995,SB,1966.0
1995,SD,12686.0
1995,SE,130531.0
1995,SG,1.0
1995,SI,18768.0
1995,SK,326.0
1995,SL,-372257.0
1995,SN,51204.0
1995,SO,-681183.0
1995,SV,-23549.0
1995,SY,27903.0
1995,SZ,554.0
1995,TD,-69982.0
1995,TG,-161122.0
1995,TH,143.0
1995,TJ,-59624.0
1995,TM,23258.0
1995,TN,-189.0
1995,TR,-34135.0
1995,TZ,827788.0
1995,UA,-1697.0
1995,UG,304243.0
1995,US,335707.0
1995,UY,-124.0
1995,UZ,2541.0
1995,VE,1145.0
1995,YE,55580.0
1995,ZA,115143.0
1995,ZM,116432.0
1995,ZW,26061.0
1996,AE,427.0
1996,AF,-1383587.0
1996,AL,-5184.0
1996,AM,-3245.0
1996,AO,-121560.0
1996,AR,-143.0
1996,AT,78079.0
1996,AU,33311.0
1996,AZ,-2408.0
1996,BA,-804812.0
1996,BD,-57870.0
1996,BE,19793.0
1996,BG,-2045.0
1996,BI,-272660.0
1996,BJ,21659.0
1996,BO,527.0
1996,BR,1614.0
1996,BS,48.0
1996,BW,204.0
1996,BY,-500.0
1996,BZ,8546.0
1996,CA,107274.0
1996,CF,37509.0
1996,CH,13071.0
1996,CI,327444.0
1996,CL,-12486.0
1996,CM,44856.0
1996,CN,-105834.0
1996,CO,-2000.0
1996,CR,23677.0
1996,CU,-23832.0
1996,CY,59.0
1996,CZ,1011.0
1996,DE,359580.0
1996,DJ,11181.0
1996,DK,44789.0
1996,DO,969.0
1996,DZ,190130.0
1996,EC,-83.0
1996,EG,5042.0
1996,ER,-331475.0
1996,ES,2872.0
1996,ET,266129.0
1996,FI,51.0
1996,FJ,-298.0
1996,FR,76640.0
1996,GA,698.0
1996,GB,52758.0
1996,GE,-48489.0
1996,GH,71507.0
1996,GM,6917.0
1996,GN,663331.0
1996,GR,3933.0
1996,GT,-43186.0
1996,GW,14550.0
1996,HR,168526.0
1996,HU,-2360.0
1996,ID,-11005.0
1996,IE,84.0
1996,IN,227045.0
1996,IQ,-119597.0
1996,IT,30740.0
1996,JM,7.0
1996,JO,395.0
1996,JP,0.0
1996,KE,216110.0
1996,KG,-411.0
1996,KH,-28205.0
1996,KW,1506.0
1996,KZ,-24663.0
1996,LB,-8558.0
1996,LK,-109609.0
1996,LR,-664677.0
1996,LY,5760.0
1996,MA,-243.0
1996,ML,-58811.0
1996,MR,-50296.0
1996,MT,309.0
1996,MW,856.0
1996,MX,39281.0
1996,MY,201.0
1996,MZ,-36074.0
1996,NE,17387.0
1996,NG,3518.0
1996,NI,-23260.0
1996,NL,78160.0
1996,NO,843.0
1996,NP,106766.0
1996,NZ,2438.0
1996,PA,484.0
1996,PE,-6123.0
1996,PG,8193.0
1996,PH,-454.0
1996,PK,1334995.0
1996,PT,-35.0
1996,PY,-17.0
1996,RO,-11719.0
1996,RU,72999.0
1996,RW,-670070.0
1996,SA,9650.0
1996,SB,1966.0
1996,SD,27554.0
1996,SE,127430.0
1996,SG,-12.0
1996,SI,9811.0
1996,SK,421.0
1996,SL,-362077.0
1996,SN,49202.0
1996,SO,-638046.0
1996,SV,-20719.0
1996,SY,19165.0
1996,SZ,582.0
1996,TG,-79303.0
1996,TH,25.0
1996,TJ,-113045.0
1996,TM,19721.0
1996,TN,-234.0
1996,TR,-42382.0
1996,TZ,953445.0
1996,UA,-2743.0
1996,UG,224545.0
1996,US,322200.0
1996,UY,-54.0
1996,UZ,-66797.0
1996,VE,1037.0
1996,YE,46536.0
1996,ZA,13046.0
1996,ZM,113423.0
1996,ZW,521.0
1997,AE,447.0
1997,AF,-1339152.0
1997,AL,-5369.0
1997,AM,-3690.0
1997,AO,-184278.0
1997,AT,73830.0
1997,AU,33338.0
1997,AZ,-1252.0
1997,BA,-678633.0
1997,BD,-60828.0
1997,BE,19708.0
1997,BF,18119.0
1997,BG,-2739.0
1997,BI,-532840.0
1997,BJ,6324.0
1997,BO,170.0
1997,BR,1803.0
1997,BS,60.0
1997,BW,240.0
1997,BY,-253.0
1997,BZ,8349.0
1997,CA,97242.0
1997,CF,39508.0
1997,CH,38865.0
1997,CI,208627.0
1997,CL,-9511.0
1997,CM,44486.0
1997,CN,-106692.0
1997,CO,-2176.0
1997,CR,22443.0
1997,CU,-23633.0
1997,CY,35.0
1997,CZ,818.0
1997,DE,340487.0
1997,DJ,15668.0
1997,DK,47551.0
1997,DO,591.0
1997,DZ,169720.0
1997,EC,-46.0
1997,EG,4390.0
1997,ER,-320571.0
1997,ES,3176.0
1997,ET,278547.0
1997,FI,13.0
1997,FR,73375.0
1997,GA,2719.0
1997,GB,56071.0
1997,GE,-47004.0
1997,GH,17798.0
1997,GM,6858.0
1997,GN,447646.0
1997,GR,3788.0
1997,GT,-39529.0
1997,GW,15076.0
1997,GY,-37.0
1997,HN,-1196.0
1997,HR,17480.0
1997,HU,-2440.0
1997,ID,-8782.0
1997,IE,0.0
1997,IN,230007.0
1997,IQ,-166390.0
1997,IS,35.0
1997,IT,32126.0
1997,JM,12.0
1997,JO,14.0
1997,JP,1.0
1997,KE,226452.0
1997,KG,-1044.0
1997,KH,-91613.0
1997,KW,15887.0
1997,KZ,-38004.0
1997,LB,-7360.0
1997,LC,0.0
1997,LK,-122264.0
1997,LR,-379841.0
1997,LT,-643.0
1997,LY,4377.0
1997,MA,-255.0
1997,MD,-5141.0
1997,ML,-34377.0
1997,MR,-59624.0
1997,MT,226.0
1997,MW,165.0
1997,MX,34766.0
1997,MY,81.0
1997,MZ,-33605.0
1997,NE,5413.0
1997,NG,6214.0
1997,NI,-22058.0
1997,NL,92235.0
1997,NO,21540.0
1997,NP,108634.0
1997,NZ,2460.0
1997,PA,494.0
1997,PE,-6102.0
1997,PG,7390.0
1997,PH,-375.0
1997,PK,1280493.0
1997,PL,-6501.0
1997,PT,-23.0
1997,PY,-3.0
1997,RO,-8379.0
1997,RU,39612.0
1997,RW,-58688.0
1997,SA,5475.0
1997,SB,766.0
1997,SD,-861.0
1997,SE,127344.0
1997,SI,6492.0
1997,SK,310.0
1997,SL,-317618.0
1997,SN,45070.0
1997,SO,-676717.0
1997,SR,-652.0
1997,SV,-17148.0
1997,SY,13984.0
1997,SZ,432.0
1997,TD,-57391.0
1997,TG,-6932.0
1997,TH,65654.0
1997,TJ,-85964.0
1997,TM,14588.0
1997,TN,-505.0
1997,TR,-46050.0
1997,TZ,582340.0
1997,UA,-2152.0
1997,UG,234198.0
1997,US,386350.0
1997,UY,40.0
1997,UZ,-65916.0
1997,VE,-315.0
1997,YE,93836.0
1997,ZA,6391.0
1997,ZM,176470.0
1997,ZW,626.0
1998,AE,458.0
1998,AF,-1360415.0
1998,AL,-5343.0
1998,AM,116431.0
1998,AO,-166409.0
1998,AR,694.0
1998,AT,77838.0
1998,AU,39412.0
1998,AZ,-108650.0
1998,BA,-517146.0
1998,BD,-18001.0
1998,BE,7940.0
1998,BF,2037.0
1998,BG,-2949.0
1998,BI,-484336.0
1998,BJ,2604.0
1998,BO,171.0
1998,BR,1868.0
1998,BS,79.0
1998,BW,2090.0
1998,BY,15628.0
1998,BZ,3482.0
1998,CA,95865.0
1998,CF,42890.0
1998,CH,20701.0
1998,CI,250999.0
1998,CL,-6736.0
1998,CM,45056.0
1998,CN,-109358.0
1998,CO,-3336.0
1998,CR,22388.0
1998,CU,-22487.0
1998,CY,51.0
1998,CZ,-583.0
1998,DE,197363.0
1998,DJ,21636.0
1998,DK,49645.0
1998,DO,572.0
1998,DZ,184077.0
1998,EC,-311.0
1998,EG,3401.0
1998,ER,-349380.0
1998,ES,3968.0
1998,ET,225165.0
1998,FI,6263.0
1998,FR,71707.0
1998,GA,744.0
1998,GB,61380.0
1998,GE,-38453.0
1998,GH,2874.0
1998,GM,10399.0
1998,GN,732327.0
1998,GR,2726.0
1998,GT,-35769.0
1998,GW,-2321.0
1998,HN,-1094.0
1998,HR,-10029.0
1998,HU,-1239.0
1998,ID,-9026.0
1998,IE,8.0
1998,IL,-808.0
1998,IN,188644.0
1998,IQ,-146467.0
1998,IS,40.0
1998,IT,4674.0
1998,JM,10.0
1998,JO,-80.0
1998,JP,535.0
1998,KE,235491.0
1998,KG,6856.0
1998,KH,-68709.0
1998,KW,16126.0
1998,KZ,-25185.0
1998,LB,-6272.0
1998,LK,-115080.0
1998,LR,-430727.0
1998,LT,-1341.0
1998,LV,-3953.0
1998,LY,2863.0
1998,MD,-3171.0
